"","Country_Standard","OZONERAW","PM10RAW","INDOORRAW","NLOADRAW","OVRSUBRAW","HARVESTRAW","AGSUBRAW","MORTALITYRAW","ENEFFRAW","CO2GDPRAW","RENPCRAW","OVRFSHRAW","WATSUPRAW","ACSATRAW","PWIRAW","PACOVRAW","WATAVL","NOXKM","SO2KM","VOCKM","COALKM","CARSKM","FOREST","TFR","EFPC","U5MORT","DISCAS","DISEXP","GASPR","ENEFF","ISO14","CO2GDP","CO2PC","WIND","DRY","WET","HOT","COLD","SST","VOLCANO","EARTHQK","TSUNAMI","SLIDES","LAND","DISP","ISOL","RELIEF","BORD","IMBAL","OPEN","MIG","ENDEM","INTRO","ENDANG","EXTINCT","FRAG","FARM","FERTL","BIOTECH","PRDOF","SULPH","MINING","VEH","POPDN","TOUR","CSTPOP","AGRMT","CLMCHG","FERTCON","LIFEEXP","SECENR","CULTOT","PRODHA","MTCATCH","CATCHSC","LANDAREA","WATICEAREA","TOTALAREA","INDOOR","ECORISK","PRTBRD","PRTMAM","PRTAMPH","ANTH10","ANTH40","ACEXC","GR2050","WATSTR","FORCERT","UND_NO","WATSUP","PRAREA","RENPC","PECR","ENROL","LOW","VEG","VEGLO","DEG","RESRV","WATER","POPGRTH","CROPLAND","FORESTAR","POPCOAST","CHLDIMM","URBANPCT","INVEST","MODPCT","CULPCT","CEREAL","STARCH","SUGARS","OILNUTS","PULSES","FRUIT","MEATS","DAIRY","FPPCT","FSPCT"
"117","Mauritius",25.19,58.1812138728324,75,5.52,0,7.94425925925926,0,0.69,3791.54,160,2.3,3,100,99,9.85,0.37,27.1595973154362,7.58,16.11,8.79,0.73,138.74,-0.6,1.94,3.25,17.3,39.3760810810811,0.96,1.11,4.11,0.38,160,2.44,234.50536029043,-71.6,60.2,1.89275360433973,2.57090309165256,3.71,0,0,0,0,1850,95.6756756756757,1400,828,1,0.211427025303619,1877.38031268493,4.86486486486486,5518.2432458196,12.4324324324324,73.5135135135135,23.2432432432432,1.03243243243243,912.971827027027,3637.70225810391,0,759406.602850286,4.25405405405405,2.05405405405405,17.8193832454895,643.148648648649,66035,643.148648648649,75,0.57515,3645.6,70.6,81,116,56.3,1.91,38,1993.16,0,1993.16,75,0,4.59693333333333,14.9130322580645,13.036936416185,1.41,32.86,0,22,25.2959731543624,0,5,100,3.4,7.8,100,16.4,100,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.43727774154212,52.217,7.9,47.7872340425532,85,41.14,25.99,26.1,57.1,0,45,100,7,78,37,59,18,43,56
"118","Malawi",21.67,46.38,99,41.74,13.9,2.13,0,21.91,3688.75,120.85,52.9,4.32624113475177,67,46,47.74,0.61,6.57,0.16,0.05,1.46,0.01,0.43,-2.4,6.6,0.64,182,2.36,0.08,1.08,3.4,0.48,120.85,0.07,91.2805292216437,-53.4,18.6,7.53198516045421,4.29096508267277,8.23519272108843,0,0,0.297734705555556,0,94080,30.6228741496599,0,2965,3,0.07288927129776,12.2555272108844,0.40391156462585,627.125850340136,0.127551020408163,0.435799319727891,0,0.174861819727891,205.680484693878,563.456632653061,0,616860.446235162,0.174638605442177,0.491071428571429,0.348373724489796,116.124574829932,2.41018282312925,0,54,0.022593,358.36,42.28,33,2020,2.4,6.15,71,94968.41,124.63,95093.04,99,10.56,2.11,4.1,6.58,24.28,0.33,0,296,0,0,33,67,16.3,48.12,100,25.332323943662,14.2857142857143,0,-1.57,0,8.9,5.37143,1.56367572838773,21.259,27.7,0,87,23.6,12.94,69.3,21.5,96,100,100,91,100,100,98,71,94,96
"119","Malaysia",27.94,23.99,29,3.32,0.74,0.93,0,0.74,9850.78,352.28,2.58,5,95,96,27.14,0.98,20.24,0.21,1.6,1.87,0.32,1.83,-1.2,3.29,2.99,8,0.84,0.72,0.57,9.94,1.66,352.28,6.28,197.998160913051,-65,121,0.891446123133583,1.00562546708085,6.184,0,0,0,3.04367676152793,328550,36.4997717242429,0,4100,4,-0.018032002762573,278.563384568559,0.109572363415005,11550.7533099985,0.0639172119920864,2.45015979302998,0.00304367676152793,0.200508294019175,624.799592147314,3657.25155988434,0,88384.537244008,1.30862882361893,0,9.41079287779638,67.7035458834272,22.5536448029219,66.3494749657586,70,1.2675,6593.4,72.04,70,7732,0.7,3.25,52,330798.79,1048.33,331847.12,29,83.27,7.28,16.67,22.61,29.48,2.94,0,83,3.05,0.4,0,95,30.6,2.92,93,28.16,0,63.8,-2.43,83.433734939759,4.6,2.19483,1.99945460284501,23.147,58.7,98,83,56.66,30.74,32.3,23.5,26,49,61,100,36,100,93,3,58,89
"120","Namibia",28.14,53.21,83,1138.16,52.01,0,0,9.11,4102.37,119.58,28.79,4,80,30,31.97,0.99,54.75,1.84,0.87,9.4,0,42.1457055214724,-0.9,4.2,2.52,67,0,0.34,0.74,3.77,0.32,119.58,0.96,393.633986437038,-27.4,5,120.589208963584,42.3504929556061,5.278,0,0,0,0,823290,13.2128411616806,0,2606,4,0.0294384416068855,2.31753088219218,0.0716636908015402,874.539955544219,0.0133610270985922,0.0461562754315004,0.00121463882714475,0.0768356229275225,1.88622356642252,0,0,254307.298579058,0.11840299287007,0.580599262980384,0.0985339309356363,2.09646661565184,0.745788239866876,0.116856813598387,37,0.1993,1576.68641891892,54.46,62,1640,0.9,4.33,62,819961.13,3454.42,823415.54,83,9.96,2.35,5.6,2.08,91.1,0.04,0,35,17.15,1.03,7,80,5.6,23.64,98,5.94,12.5,95.3,-0.34,22.9647630619684,12.9,4.03226,1.48758529622142,0.996,9.8,5,57,30.44,20.55,43.9,2,38,100,0,20,34,25,100,100,52,100
"121","New Caledonia",29.04,73.92,44.31875,3.16,0,7.94425925925926,0,0.72,5047.12,122.72,11.64,1,81.4008771929824,67.1454545454545,16.64,1,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0.21,4.54,0,2.6,2.54724137931034,64.7667582417582,39.3760810810811,0.98,0.996625766871166,8.20536144578313,0,122.72,4.67011173184358,227.946650025351,-136.4,39.6,2.89977254537512,104.58576650448,5.188,0,0,0,11.5416254276943,18575,121.345895020188,1300,1628,5,0.0511858141142497,1877.38031268493,0.646029609690444,5518.2432458196,0.807537012113055,13.0820995962315,0.484522207267833,0.624629737420906,176.415913862719,3637.70225810391,0,7018938.47984685,0.376312247644684,0,17.8193832454895,11.0289636608345,5.63481381785554,11.0289636608345,76.1277777777778,2.4668,2285.7,72.76,71.6473988439306,10590.2111111111,4.80584795321637,3.22445859872611,40.343949044586,18837.09,40.3,18877.4,45.1656050955414,0,4.59693333333333,14.9130322580645,13.036936416185,1.54,0.44,0,60,25.2959731543624,0,16.9328859060403,80.2409375,7.1,12.84,91.0238414634146,25.332323943662,25,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.50979109684069,0.71116,20.4,47.7872340425532,41,75.48,32.9,51.5705555555556,21.8405555555556,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"122","Niger",38.1,163.68,98,1814.2,28.67,225.17,0,35.94,1621.79,149.3,0,4.32624113475177,46,12,3.01,0.89,8.15,0.16,0.09,1.01,0.01,0.23,-3.7,8,1.15,264,0.47,0.33,1.26,1.78,0.11,149.3,0.11,300.900453644604,-6.4,7.8,26.1543796396564,51.6712380985529,8.23519272108843,0,0,0.297734705555556,0,1266700,4.49751322333623,0,1744,7,0.07288927129776,0.348938185837215,0.0299992105470909,0,0.00710507618220573,0.0134206994552775,0,0.0079734743822531,3.25728270308676,7.8945290913397,0,616860.446235162,0.0236914818031104,0.114703623588853,0.03388331886003,8.4708297150075,0.0355253809110287,0,67,0.02963,19.02,45.91,7,6056,0.3,0.39,8,1157232.49,3916.73,1161149.22,98,46.9,1,8.4,0,77.06,0.02,0,327,1.21,0,34,46,8.2,0,48,1.47,3.07692307692308,0,0,45.0168918918919,7.7,14.2857,2.77549198249101,3.9473,1.1,0,28,20.12,10.07,25.4,4.8,89,100,85,82,100,93,100,92,93,64
"123","Nigeria",24.07,103.87,67,98.18,4.66,6.3,0,25.96,6930.52,305.31,8.44,6,60,38,14.22,0.42,2.95,0.24,0.19,3.8,0,0.07,-2.6,5.7,1.1,201,0.12,0.28,0.33,7.8,0.09,305.31,0.32,528.620618744053,-28.6,23.8,1.8866964196013,5.23830202072539,4.132,0,0,0,2.19594409126344,910770,7.87136159513379,0,2419,4,-0.0710085274146526,15.6054766845636,0.0603884625097445,240.455877993346,0.00988174841068546,0.173479583209811,0,0.21343478595035,534.804201939019,168.747323693139,0,49045.7599933299,0.839180034476322,97.95760444503,0.857013296441473,122.43047092021,0.852026307410213,91.7906534272902,82,0.22402,48.76,53.45,36,34889,1.7,1.29,26,904234.85,485.7,904720.55,67,95.28,1.32,9.85,12.62,0.81,0.57,0,124,0,0,8,60,6,7.46,100,25.332323943662,38.3177570093458,10.7,-0.86,54.9402823018458,3.3,1.64253,2.67379782334733,33.749,14.8,26,45,43.1,10.57,53.1,38.3,94,100,55,100,100,100,95,27,84,53
"124","Nicaragua",47.55,41.66,73,6.83,0,1.19,0,2.61,3584.01,400.16,13.95,3,81,66,42.19,0.75,32.07,0.37,0.05,0.41,0,1.92,-3,3.75,1.57,41,3739.6,1.08,0.89,4.44,0,400.16,0.74,224.523263086053,-31.4,29,2.45977297555899,2.48389564186789,3.75,1029.65403624382,1,0.522193,0,121400,25.9143327841845,0,2438,2,0.416193609562441,13.2537067545305,0.28830313014827,411.861614497529,0.0411861614497529,0.494233937397035,0,0.14827018121911,274.341314662274,316.67215815486,0,996069.946723872,0.29332784184514,0,0.668731466227348,41.7957166392092,3.31466227347611,29.9257331136738,68,0.17545,201.25,68.39,61,3242,5,0.48,10,118789.48,6874.88,125664.36,73,70.28,1.04,3,14.71,18.62,1.19,0,93,0.69,0.51,29,81,21.8,12.26,100,25.332323943662,0,44.3,-2.54,77.7777777777778,7,0.678233,2.19890873252934,22.619,27,72,94,55.78,36.31,46.5,26.7,74,88,100,84,100,100,100,100,93,100
"125","Netherlands",44.35,36.92,0,157.81,24.14,1.71,2.93,0.44,7999.63,76.17,1.33,5,100,100,3.84,0.14,5.98,10.15,2.19,6.77,11.72,166.94,0.3,1.78,3.81,5,0,0.554934210526316,1.84,7.9,2.47,76.17,11.25,448.670072680594,-20,47.8,156.322220334791,77.0824564753204,14.156,0,0,0,0,33920,86.7040094339623,0,328,3,0.0572378403340364,5635.99646226415,1.85731132075472,0,0.884433962264151,0.678066037735849,0,3.43455188679245,33688.8818036557,22630.7488207547,136,61391.2656020889,15.5362617924528,0,172.193985849057,465.389150943396,288.924921383648,434.673466981132,230,4.1625,5566.7,77.59,122,1138,3.9,2.4,44,35043.85,2717.29,37761.14,0,100,2.09,18.18,0,0,28.3,43.81,8,43.19,29.5,1,100,26.2,1.19,97,55.01,6.89655172413793,4.8,0,4.8780487804878,5.7,71,0.561500561563485,27.742,11.1,93,95,89.32,20.01,49.9,33.5,31,83,100,22,100,32,100,100,71,46
"126","Norway",43.42,20.67,0,6.25,0,1.12,40.13,0.29,10688.93,77.14,60.42,7,100,100,7.24,0.28,60.77,1.94,0.23,3.16,0.54,20.33,0.4,1.8,8.17,4,0.01,0.554934210526316,2.02,11.38,2.11,77.14,9.26,395.623329458697,-35.4,37,171.759819016556,168.731270944348,8.818,0,0,0,0,306830,181.673891079751,0,2469,5,0.0268217666847331,170.40706580191,0.185770622168628,3.25913372225662,0.0358504709448229,0.0749600756119024,0,0.296190072678682,241.476387576182,640.863018609654,1,21594.3436163022,1.37173679236059,0,5.51522015448294,14.5520320698758,14.6970635205162,13.8826385946615,192,2.6176,2308.2,78.31,115,1216,2.9,6.96,75,318523.72,3183.28,321707,0,2.91,0.82,18.52,0,41,3.02,15.96,22,0.66,100,1,100,6.2,63.68,100,70.01,41.0909090909091,90.4,0.34,3.09597523219814,6.5,0.531414,0.497147837993806,2.9593,28.9,95,92,75.14,23.04,64.1,4,72,82,3,16,57,21,96,100,56,100
"127","Nepal",58.58,49.65,97,17.71,0.92,3.57,0,6.43,1781.25,166.61,36.49,4.32624113475177,84,27,19.76,0.79,6.63,0.93,0.05,2.07,0.08,1.81,-1.8,4.1,0.57,87,10.92,0.99,1.08,1.72,0.03,166.61,0.14,195.316280113237,-61.2,7.4,19.9120911913708,7.40586100069969,8.23519272108843,0,0,0.297734705555556,6.99300699300699,143000,20.4615384615385,0,8780,2,0.07288927129776,12.972027972028,0.230769230769231,3454.54545454545,0.125874125874126,0.454545454545455,0,0.0538461538461538,469.028782377622,726.433566433566,0,616860.446235162,0.458822810009444,8.07455804195804,0.48702127972028,162.340426573427,657.701573397486,0,51,0.020613,375.78,57.76,45,3200,2.2,3.22445859872611,40.343949044586,139103.09,527.22,139630.31,97,75.66,4.09,16.02,6.52,7.16,1.08,0,105,97.47,0,17,84,18.1,30.71,50.7,4.62,26.3157894736842,22.4,-1.11,27.6595744680851,7.6,14.6317,2.35746577044666,20.755,27.3,0,78,11.58,21.09,49,22.4,100,99,100,83,100,98,99,99,97,100
"128","New Zealand",26.83,16.87,0,17.55,1.17,2.16,4.51,0.37,9838.07,126.63,35.33,5,97,100,49.23,0.78,79.88,3.3,0.97,3.3,0.52,40.56,0.5,1.96,8.13,5.28,0.22,0.36,0.9,9.72,1.17,126.63,8.5,439.096656191445,-25.2,21.2,35.5816124077214,45.7948433364273,6.24,1167.95402813538,0,0.348655,0,267990,64.2150826523378,1600,3764,2,0.158548000227884,68.7861487368932,0.149259300720176,7727.90029478712,0.100750027986119,0.462703832232546,0.0783611328780925,0.343576252845255,117.274103511325,2643.68073435576,59,156490.754398088,0.317586017549037,39.6759839419381,6.3826521661256,14.1522220978395,6.06863440178116,14.1522220978395,106,2.2884,4443.7,77.26,118,6139,3,6.88,74,265334.38,718.13,266052.51,0,67.34,42,80,100,48.04,1.93,0,26,0.44,7.93,1,80.2409375,24.4,34.59,91.0238414634146,69.24,45.7627118644068,29.2,0.56,6.79245283018868,23.4,0.611621,1.16151215704015,12.239,29.7,100,86,85.7,19.88,65.5,22.9,83,88,13,4,100,100,100,100,73,100
"129","Oman",47.3,105.3,0,0,37.51,0,0,0.57,10917,378.21,0,3,79,89,9.99,0.5,1.35,0.09,0.11,1.45,0,8.47,5.3,4.1,2.54724137931034,13,0,0.01,0.51,10.11,0.18,378.21,7.58,252.383983255609,-14.6,0.4,24.2604325483622,8.88027181559371,6.34,0,0,0,0,212460,19.6884119363645,0,2980,5,0.16269140740432,27.3698578555963,0.155323354984468,390.661771627601,0.00470676833286266,0.16003012331733,0,0.154382001317895,1786.20161387381,36.1762214063824,0,496227.009993271,0.453120587404688,234.443416775864,1.16056669490728,11.9646051021369,2.17688035394898,10.5886755153911,55,2.5879,4437.5,73.1,80,126,4.80584795321637,3.32,53,304189.58,1478.03,305667.62,0,0,9.35,19.64,0,76.24,0.73,0,93,49.91,0,16.9328859060403,79,9.6,0,74,8.49,26.9230769230769,0,0,39.4833948339483,16.1,122,3.50554139139311,0.29653,0,88,98,82.32,20.5970138888889,21.8,0.6,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"130","Pakistan",50.56,180.08,76,3336.81,33.35,53.35,-0.97,9.83,6160.34,401.62,14.02,5,90,54,5.44,0.47,1.01,0.25,0.3,1.53,0.12,2.31,-1.5,4.77,0.67,104,2.28,0.92,0.85,6.17,0.09,401.62,0.74,426.620783620128,-72.6,5.2,61.3295751047951,45.5996089159223,8.18,0,0,0,2.59443752594438,770880,12.1588314653383,0,8611,5,-0.0581178675268499,19.0392797841428,0.0817247820672478,522.779161477792,0.0194582814445828,0.0609692818596928,0.00129721876297219,0.330025425487754,1786.20161387381,3194.27148194271,0,75627.4702306988,0.735951120797011,46.6082081257783,1.01496341843088,202.992683686177,657.701573397486,54.7901231242786,89,0.20347,1264.3,62.38,23,22268,2.5,1.46,29,785319.81,1326.37,786646.18,76,74.91,4.53,11.26,0,12.26,2.88,0,85,76.37,0,19,90,9.2,10.15,79,25.332323943662,43,5.8,-2.92,24.4084682440847,7.37727272727273,183.707,2.16374589798117,28.591,3.3,9,74,36.46,13.35,57,28.9,100,99,99,70,94,100,97,99,95,100
"131","Panama",37.12,53.27,37,6.93,2.55,0.15,0,1.6,9763.33,173.9,14.43,5,91,72,52.33,1,28.89,0.28,0.03,0.1,0.03,5.17,-1.6,2.7,1.89,25,0.32,0.22,0.84,10.78,0.06,173.9,2.15,185.593286080645,-61.8,28.4,0.29712592627584,2.58319692537583,3.272,0,0,0,0,74430,83.192261185006,0,3475,2,0.12453681616561,115.289533790138,0.483675937122128,17385.4628510009,0.376192395539433,3.23794169017869,0,0.153164046755341,364.959592906086,475.211608222491,0,128470.503323297,0.374848851269649,0,2.91624345022168,38.3716243450222,6.12208338931435,38.3716243450222,95,0.78163,672,73.96,71,808,7.2,0.65,13,74515.22,806.32,75321.53,37,33.93,2.19,7.8,27.51,16.91,3.64,0,58,0,0.38,26,91,19.5,12.1,100,34.9,0,62,-2.15,88.4615384615385,18.8,1.11262,1.33103393265885,8.8002,38.6,100,92,56.04,28.93,51.5,10.9,45,98,100,35,99,100,95,89,83,100
"132","Peru",35.2,61.78,40,106.17,16.66,0.1,5.35,4.91,3997.12,133.16,33.4,7,81,62,14.9,0.8,65.42,0.38,0.25,0.54,0.05,2.47,-0.4,2.8,1.26,39,4.56,0.54,1.21,4.03,0.23,133.16,1.14,126.158065754207,-20.8,6.2,2.33377732391765,12.2228059183339,6.114,35.9375,2,1.78465,3.90625,1280000,6.9515625,0,6768,5,0.0923848528798836,8.4703125,0.03359375,4503.90625,0.01484375,0.3109375,0.00078125,0.06093671875,215.4452723125,141.09375,0,7219.12822051692,0.5649140625,10.8989995795312,1.1828578125,20.0484375,0.726822916666667,43.660511600238,93,0.29408,470.81,68.64,90,7096,5,44.45,100,1288259.27,772.66,1289031.94,40,2.95,4.93,10,19.6,56.76,0.45,0,55,20.09,0,11,81,16.7,31.97,100,25.332323943662,0,86.6,-0.32,32.9430132708821,2.7,1.08648,1.74348188248881,3.2578,51,57,94,72.42,21.61,22.3,5.5,45,98,98,77,100,99,97,70,85,100
"133","Philippines",35.93,49.34,85,7.35,2.99,4.14,0.39,1.46,3603.05,235.39,22.03,6,85,73,21.5,1,3.94,1.17,1.56,1.05,0.66,14.61,-1.4,3.54,1.11,37,15.58,1.63,0.57,3.35,0.5,235.39,1.02,194.998072546198,-57.6,104.2,4.71053046541816,5.08770205120426,6.17,714.357581245598,6,0.117994,23.4765402287286,298170,113.693530536271,700,2954,2,0.0992099384424161,169.289331589362,0.0905523694536674,13482.2416742127,0.154274407217359,1.29791729550257,0.00670758292249388,0.670590602676326,3529.41994063789,2618.10376630781,1,33548.4237061524,2.11173333333333,0,2.56560804239192,256.560804239192,7.24418955629339,256.560804239192,80,0.23577,1582.8,68.59,84,9851,3.8,1.45,29,295386.88,2040.05,297426.93,85,92.51,34.18,31.65,48.98,0.85,2.73,0,76,15.2,0.26,22,85,7.8,24.3,100,31.21,0,6,-3.54,79.2642140468227,4.8,11.5699,2.0723033235582,33.538,19.4,100,83,57.68,20.02,51.2,33,88,95,99,100,98,100,95,2,85,81
"134","Papua New Guinea",30.92,31.24,97,3.56,1.76,0.71,0,7.58,3289.8,135.94,20.44,2,39,45,1.82,0.31,151.7,0.01,0.04,0.08,0,0.38,-0.4,4.14,1.25,94,2.4,0.3,0.87,3.56,0,135.94,0.46,206.045319697506,-104,17.4,1.84694729999533,2.02698959570302,5.994,541.006050435013,1,0.495123,2.20818796095924,452860,46.4094863754803,120,4509,4,0.154172716571545,5.86494722430773,0.0596210749458994,810.40498167204,0.123658525813717,0.585169809654198,0.00220818796095924,0.043280484034801,352.426921785982,28.1102327430111,0,1746984.25476603,0.0482544459763316,3536.45315362602,0.0365565516936802,12.403391776708,0.141324029501391,3.19608709093318,73,0.16232,2166.7,58.15,26,709,1.8,2.03,40,465004.05,234.26,465238.31,97,37.76,4.9,26.13,4.22,46.17,0.08,0,90,0,0,27,39,1.6,20.96,83,2.33,51.1627906976744,85.4,-0.36,0,0.1,0.0124844,2.47760090148456,1.4795,67.6,61,40,17.12,35.69,34.9,1.6,1,100,99,100,98,99,48,1,68,21
"135","Poland",44.02,43.56,7,125.09,5.56,1.69,4.78,0.41,8035.63,578.54,0.75,6,100,100,1.81,0.19,1.75,2.69,4.85,1.92,6.89,40.35,0.2,1.25,3.4,7.5,0.08,0.18,1.36,7.77,1.06,578.54,8.22,322.726427782531,-26.4,30.2,289.672727516708,183.949977888192,16.524,0,0,0,0,304420,12.5484527954799,0,2501,8,-0.316315120731223,152.31259444189,0.21023585835359,9.85480586032455,0.10183299389002,0.128112476184219,0,1.25172459102556,6272.89366552789,5780.59260232573,0,52215.8211604398,13.2143091781092,0,26.6141679258919,127.340516391827,59.2711823577076,50.7100290697674,160,1.9928,1140.5,73,105,14872,6.1,2.88,49,311195.23,12.4,311207.62,7,100,1.76,16.67,0,0.03,9.22,53.45,-15,0.98,68.45,0,80.2409375,23.5,0.9,98,55.54,66.8202764976959,22.2,0.14,83.0670926517572,9.1,21.9455,-0.0313382828551336,47.234,30.6,14,95,65.22,26.35,42.9,48.9,96,100,100,53,100,100,100,100,94,70
"136","Puerto Rico",49.77,25.14,44.31875,8.93,0,7.94425925925926,0,0.46,4858.5,45.74,0.51,2,81.4008771929824,67.1454545454545,5.26,0.44,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0.43,229.72,-0.2,1.82,2.54724137931034,64.7667582417582,39.3760810810811,0.99,0.996625766871166,4.74,0.05,45.74,4.67011173184358,160.518289010166,-214.2,4,1.39388013521672,2.8146309138395,3.734,0,0,13.9721,0,8959,55.9214198013171,697.5,1338,3,0.141252987267319,1877.38031268493,3.01372921084943,5518.2432458196,3.79506641366224,7.81337202812814,0.558098002009153,1.60732224578636,1662.63659783458,3637.70225810391,0,1610528.29938669,1.02801651970086,0,17.8193832454895,439.481638575734,657.701573397486,139.292120238554,76.1277777777778,1.4366,1576.68641891892,75.62,71.6473988439306,10590.2111111111,4.80584795321637,3.22445859872611,40.343949044586,8985.25,0,8985.25,45.1656050955414,97.59,4.59693333333333,14.9130322580645,72.22,0.07,60.86,0,-2,25.2959731543624,0,16.9328859060403,80.2409375,3.4,0.46,91.0238414634146,25.332323943662,100,30.4293333333333,-0.617032258064516,100,7.37727272727273,77.7750165173611,0.549517620673998,8.7937,25.8,47.7872340425532,78.0392156862745,74.82,15.74,51.5705555555556,21.8405555555556,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
"137","Democratic People's Republic of Korea",50.26,92.64,68,20.43,3.68,2.17,0,3.56,8519.64067039106,4859.02,12.23,6,100,59,1.06,0.16,2.78,1.18,7.64,1.91,18.94,42.1457055214724,0,2.04,4.07,55,580.78,0.58,0.9,8.20536144578313,0,4859.02,8.49,286.075446594284,-45.8,37.2,178.078427457283,92.2334784489575,11.588,0,0,0.498878,0,120410,47.1887716967029,0,1950,3,-0.202343285890992,1877.38031268493,3.6468062016144,930.155302715721,0,0.298978490158625,0,0.259114691470808,1832.1313857653,1046.42471555519,0,54555.8719422059,8.67120671040611,0,17.8193832454895,199.642886803422,1.07964454779503,185.468241840379,40,1.8429,1006.5,63.35,71.6473988439306,3475,3.3,2.27,43,122439.95,215.95,122655.9,68,23.09,16.52,14.9130322580645,7.69,0.09,0.8,2.43,10,3.51,0,34,100,2.6,22.42,91.0238414634146,25.332323943662,56.25,38.7,0,17.2131147540984,2.6,21.1343,1.29418952348237,16.61,68.2,93,100,59.98,20.5970138888889,61.1,28.9,72,100,0,88,100,100,99,100,82,100
"138","Portugal",50.22,33.96,0,179.55,9.96,3.23,0.79,0.46,5617.62,125.68,16.4,6,100,100,10.52,0.76,5.05,4.47,3.84,5.62,1.29,79.22,1.7,1.44,5.34,6,0.34,0.43,1.59,5.5,1.33,125.68,6.47,373.053151744434,-47.2,60.8,104.713663121081,34.1277601807199,7.9,0,0,0,0,91500,44.1967213114754,0,2351,1,0.0526634881037601,444.633879781421,0.601092896174863,1704.91803278689,0.19672131147541,1.43169398907104,0.0218579234972678,0.751169398907104,2705.5625136612,2662.29508196721,12,35494.7813326064,2.09901639344262,0,29.0314207650273,107.92349726776,127.373406193078,100.045081967213,167,1.4823,1110.1,75.17,113,3834,2,1.98,40,91426.39,66.92,91493.31,0,80.53,3.38,26.98,0,0.63,10.12,3.24,-11,63.22,0,1,80.2409375,5.1,9.14,91.0238414634146,50.2,50.7042253521127,9.4,0.85,21.3483146067416,6.6,19.7027,0.17934498327666,28.197,40.1,93,95,62.8,25.07,41.6,41.9,44,56,11,41,100,83,87,98,65,42
"139","Paraguay",27.86,97,64,30.78,23.47,1.26,0,2.13,15943.08,106.91,123.39,4.32624113475177,83,78,2.11,0.62,110.27,50.7,0,0.01,0,42.1457055214724,-0.5,3.84,2.29,30,0.85,0.6,0.92,14.67,0,106.91,0.67,426.588349530544,-24.6,15.6,169.026866867089,209.320406698645,8.23519272108843,0,0,0.297734705555556,0,397300,9.86659954694186,0,796,3,0.07288927129776,12.4842688144979,0.0377548452051347,20.1359174427385,0.00251698968034231,0.118298514976089,0,0.0742511955700982,637.993564862824,74.7671784545683,0,616860.446235162,0.0496098665995469,0,0.193667253964259,13.8333752831613,0.704757110495847,0,63,0.16964,154.54,69.82,65,4464,2.9,3.22445859872611,40.343949044586,395907.51,0,395907.51,64,55.81,4.68,3.28,1.28,56.45,0.47,0,101,0,0.01,13,83,4.1,124.46,100,16.55,36.3636363636364,44.5,-2.65,27.027027027027,3.4,0.457447,2.65513008993474,5.7513,58.8,0,61,55.28,17.5,36,11.2,100,100,100,100,92,97,100,86,97,88
"140","Qatar",45.81,66.92,0,0,19.33,7.94425925925926,0,0.58,8519.64067039106,365.719382022472,0,2,100,100,0,1,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,0,76.09,9.6,4,2.54724137931034,16,39.3760810810811,0.554934210526316,0.996625766871166,8.20536144578313,0.12,366.078314606742,70.06,283.154408791209,-11.6,4.2,74.2826805479452,1.83000438596491,12.368,0,0,0,0,11437,54.4723266590889,0,103,4,0.530961674042543,1877.38031268493,2.44819445658827,5518.2432458196,1.21624299471486,0.612048614147067,0,0.10754568505727,0.879139634519542,3637.70225810391,0,2525180.42707907,2.30829763049751,4314.48199702719,17.8193832454895,67.2512022383492,657.701573397486,139.292120238554,44,12.275,832.14,74,94,22,4.80584795321637,4.07,60,10973.25,0,10973.25,0,0,4.59693333333333,14.9130322580645,13.036936416185,33.66,7.88,0,67,25.2959731543624,0,16.9328859060403,100,1.1,0,100,24.62,50,30.4293333333333,-0.617032258064516,0,7.37727272727273,77.7750165173611,1.43727774154212,1.5455,0.1,47.7872340425532,87,92.28,20.5970138888889,79,2,60.7167630057803,87.5838150289017,67.4219653179191,69.7514450867052,86.635838150289,83.5086705202312,85.1734104046243,71.3236994219653,76.4682080924856,71.9239766081871
