"","Country_Standard","OZONERAW","PM10RAW","INDOORRAW","NLOADRAW","OVRSUBRAW","HARVESTRAW","AGSUBRAW","MORTALITYRAW","ENEFFRAW","CO2GDPRAW","RENPCRAW","OVRFSHRAW","WATSUPRAW","ACSATRAW","PWIRAW","PACOVRAW","WATAVL","NOXKM","SO2KM","VOCKM","COALKM","CARSKM","FOREST","TFR","EFPC","U5MORT","DISCAS","DISEXP","GASPR","ENEFF","ISO14","CO2GDP","CO2PC","WIND","DRY","WET","HOT","COLD","SST","VOLCANO","EARTHQK","TSUNAMI","SLIDES","LAND","DISP","ISOL","RELIEF","BORD","IMBAL","OPEN","MIG","ENDEM","INTRO","ENDANG","EXTINCT","FRAG","FARM","FERTL","BIOTECH","PRDOF","SULPH","MINING","VEH","POPDN","TOUR","CSTPOP","AGRMT","CLMCHG","FERTCON","LIFEEXP","SECENR","CULTOT","PRODHA","MTCATCH","CATCHSC","LANDAREA","WATICEAREA","TOTALAREA","INDOOR","ECORISK","PRTBRD","PRTMAM","PRTAMPH","ANTH10","ANTH40","ACEXC","GR2050","WATSTR","FORCERT","UND_NO","WATSUP","PRAREA","RENPC","PECR","ENROL","LOW","VEG","VEGLO","DEG","RESRV","WATER","POPGRTH","CROPLAND","FORESTAR","POPCOAST","CHLDIMM","URBANPCT","INVEST","MODPCT","CULPCT","CEREAL","STARCH","SUGARS","OILNUTS","PULSES","FRUIT","MEATS","DAIRY","FPPCT","FSPCT"
"107","Madagascar",25.4,46.7,99,31.31,11.91,0.81,0,14.79,2712.82,162.3,15.11,4,45,33,4.7,0.44,20.17,0.11,0.04,0.71,0,0.15,-0.9,5.77,0.97,135,4.65,0.99,1.77,2.21,0,162.3,0.14,263.204454130883,-32,44,3.79434927223046,3.52402390108956,3.278,0,0,0,0,581540,1.44787976751384,400,2876,1,-0.169899790421723,1.82790521718197,0.0429893042610998,12229.5972761977,0.0447088764315438,0.519310795474086,0.00687828868177597,0.0526584585755064,206.398990611136,21.3777212229597,0,337423.003657236,0.0667881831000447,0.210636255459642,0.137067097706091,27.4134195412181,0.240166913138678,104.323539192399,68,0.022731,36.97,57.76,14,5725,3,1.2,24,592965.42,228.08,593193.5,99,45.35,13.37,35.46,24.77,20.45,0.04,0,274,0.43,0,36,45,3.1,19.2,100,2.16,53.4246575342466,13.1,-0.84,70.6576728499157,1.9,5.8457,3.0702728512327,5.3444,20.2,55,68,28.98,12.46,73.9,9.8,91,100,99,77,100,100,100,97,95,100
"108","Maldives",38.5232786885246,49.09,44.31875,16731.0132727273,13.5706060606061,7.94425925925926,0,3.24,8519.64067039106,228.39,0,5,84,58,0,0,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,2.64309392265193,42.1457055214724,0,3.72,2.54724137931034,77,39.3760810810811,0.554934210526316,0.996625766871166,8.20536144578313,0,228.39,1.71,220.251372829447,-105,71.2,5.21493473069746,64.2457464805894,6.732,0,0,0,0,300,2146.66666666667,500,2.4,3,-0.0782962175640176,1877.38031268493,43.3333333333333,5518.2432458196,3.33333333333333,10,0,0.624629737420906,1786.20161387381,3637.70225810391,0,142087.589039678,3.23333333333333,0,17.8193832454895,1035.88,1434.44444444444,139.292120238554,38,1.41884610516129,1576.68641891892,66.2676774193548,67,3,7.3,6.72,74,188.69,0,188.69,45.1656050955414,100,4.59693333333333,14.9130322580645,13.036936416185,20.8402717391304,6.9,0,69,25.2959731543624,0,16.9328859060403,84,0,0,91,25.332323943662,100,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,1.43727774154212,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,80,10,0,74,0,85,76,54,22,0,39,100
"109","Mexico",64.2,53.37,22,8222.39,31.51,1.59,1.47,1.07,7152.85,310.61,4.8,5,91,77,12.51,0.65,4.62,0.78,0.9,0.61,0.2,12.18,-1.1,2.8,2.59,29,2.34,0.69,1.02,6.94,0.45,310.61,4.29,294.643226476578,-61.4,34,45.0134822202811,41.2739664867238,3.942,50.2962765037801,2,0.336686,1.04783909382875,1908690,14.7294741419508,0,5710,4,0.0281144040605067,64.1403266114455,0.0403418051124069,6964.98645667971,0.0235763796111469,0.219522290157123,0.0110023104852019,0.16710413948834,675.527352791705,772.362196061173,3,101896.934147506,1.17909665791721,0,4.81792905081496,51.8056887184404,657.701573397486,14.8682326621924,111,0.99137,636.11,72.06,79,35359,4.3,1.81,36,1943058.29,5243.52,1948301.82,22,23.1,5.18,14.66,54.42,24.17,2.5,0.68,41,44.64,1.16,5,91,5,5.47,100,20.71,54.0322580645161,63.4,-0.9,44.4557477110885,3.4,19.0244,1.52407430626196,14.303,28.9,29,83,74.2,21.56,42.7,18.5,73,93,99,40,100,100,86,80,84,100
"110","Macedonia",45.08,33.47,12,294.07,0,1.29,0,0.58,8657.27,593.02,8.35,4.32624113475177,81.4008771929824,67.1454545454545,8.91,0.38,2.87,0.15,0.9,1.3,2.89,13.89,0,1.73,2.69,26,0,0.34,1.39,7.89,0.08,593.02,5.53,343.242240578675,-50.8,11.2,77.6058665786044,52.5772330687518,8.23519272108843,0,0,0.297734705555556,0,25430,30.1219032638616,0,2703,4,0.07288927129776,73.220605583956,1.73023987416437,0,0,0.904443570585922,0,0.341486433346441,636.589989775855,1733.62170664569,0,616860.446235162,7.24428939092952,362.74054806921,17.8193832454895,79.5910342115612,657.701573397486,139.292120238554,52,1.2737,766.83,72.57,85,752,3.2,3.22445859872611,40.343949044586,24697.07,0,24697.07,12,100,1.43,14.1,0,3.44,6.63,97.48,3,0,0,10,80.2409375,7.9,10.33,98,24.45,0,30.4293333333333,-0.02,88,7.1,77.7750165173611,0.232283940911119,24.971,35.6,14,97,61.58,17.86,66.5,29.6,84,96,60,64,100,100,63,88,82,6
"111","Mali",39.49,194.39,100,660000,13.48,1.86,0,26.85,1318.43,51.13,43.37,4.32624113475177,48,45,2,0.62,7.02,2.31398692810458,2.02892617449664,3.68503225806452,0,0.11,-0.7,7,1.16,222,0.18,0,1.13,1.19,0,51.13,0.05,236.479862958172,-13.2,17.2,18.2480737402664,17.463897764169,8.23519272108843,0,0,0.297734705555556,0,1220190,5.93596079299126,0,1132,7,0.07288927129776,0.735131413960121,0.0336013243839074,13.1127119546956,0,0.0204886124292118,0,0.012375121907244,4.51669002368484,30.4870552946672,0,616860.446235162,0.0433620993451839,0.00279879363050017,0.0276202886435719,9.20676288119063,0.0713003712536572,0,57,0.015003,103.78,50.42,20,7664,0.8,5.75,69,1248145.58,287.6,1248433.17,100,58.24,1.01,9.49,0,64.55,0.04,0,243,11.87,0,21,48,3.7,38.28,54,1.91,7.69230769230769,0,-0.96,29.6356275303644,3.7,2.26667,3.01863718595673,3.8109,10.8,0,52,29.36,20,26.3,6.3,91,95,89,100,99,96,100,89,95,99
"112","Malta",46.12,58.1812138728324,0,0,0,0,0,0.29,5467.97,189.62,0,3,100,67.1454545454545,0,0,27.1595973154362,2.31398692810458,2.02892617449664,3.68503225806452,24.8,861.17,-0.109028571428571,1.46,2.54724137931034,5,39.3760810810811,1,1.43,5.01,0.57,189.62,7.24,276.359428257284,-52.2,41.2,70.8207076923077,3.93492967032967,11.788,0,0,0,0,316,800.03164556962,250,253,4,0.25220636208055,1877.38031268493,25.3164556962025,5518.2432458196,15.8227848101266,22.1518987341772,0,6.32911392405063,19282.7025316456,3637.70225810391,0,1114198.03139363,78.4810126582279,0,17.8193832454895,1248.68037974684,3809.07172995781,1248.68037974684,82,1.5674,1000,77.17,95,11,9.3,0.04,1,315.39,0,315.39,45.1656050955414,100,4.59693333333333,14.9130322580645,0,0,0,0,-9,25.2959731543624,0,16.9328859060403,100,19,0,100,25.07,7.14285714285714,30.4293333333333,-0.617032258064516,37.2755101651497,7.37727272727273,77.7750165173611,0.743738351162969,34.375,1.1,47.7872340425532,51,90.26,24.24,43.8,34.4,4,91,0,0,90,39,61,46,41,7
"113","Myanmar",52.78,89.21,100,9,1.91,3.5,0,10.32,2331.55,42.52,15.14,5,80,73,10.67,0.43,22.21,0.19,0.09,1.07,0.02,0.46,-1.4,3.08,0.76,108,0.2,0.9,0.59,8.20536144578313,0.03,33.5,0.19,90.55741579585,-47.2,99.2,18.5417622085372,23.8114434095992,4.412,0,0,0,0,657550,31.30408333967,0,5881,5,0.0225038150403229,3.672724507642,0.0745190479811421,1715.45890046384,0.00304159379514866,0.199224393582237,0,0.0428864725115961,462.818008546879,293.314576838263,0,103508.757245129,0.0854992015816288,0,0.0693650672952627,69.3650672952627,0.307707905609206,33.9888829746787,47,0.043285,179.48,59.93,39,10462,1.6,2.22,42,669707.48,644.32,670351.8,100,88.82,4.04,15.54,0,16.8,0.62,0.77,29,0,0,7,80,5.4,14.4985714285714,100,11.53,0,40.6,-1.38,35.9467455621302,0.3,0.449698,0.622561196034403,15.425,52.3,49,88,27.32,11.99,73.8,15.9,100,100,100,99,100,100,100,94,99,100
"114","Mongolia",60.88,70.53,67,6752.81,11.27,0.05,0,7.37,20732.83,1992.23,0,4.32624113475177,62,59,35.08,0.93,28.26,0.31,0.43,0.58,4.67,42.1457055214724,-0.5,2.66,5.68,71,0,0.03,0.62,18.95,0,1992.23,3,393.567642674694,-18.2,11.4,411.630305522236,259.878211889698,8.23519272108843,0,0,0.297734705555556,0,1566500,5.21034152569422,0,2967,2,0.07288927129776,0.34152569422279,0.0319182891797,146.185764443026,0,0.019789339291414,0,0.0314395148420045,1.07120191509735,1.68528566868816,0,616860.446235162,0.00805617618895627,0,0.0203919565911267,1.69932971592723,0.109373337589105,0,47,1.41884610516129,1576.68641891892,66.2676774193548,84,2640,1,3.22445859872611,40.343949044586,1546296.94,7451.66,1553748.6,67,38.72,3.76,10.53,0,91.93,0.01,0,72,2.86,0,38,62,14,0,100,32.68,0,49.6,0,25.5605381165919,11.5,1.23563,1.47593070280613,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,38.2,1.7,50,82,0,0,96,1,100,96,53,67
"115","Mozambique",25.6,46.31,87,107.67,13.44,2.33,0,23.84,7930.6,95.24,92.34,3,42,27,12.26,0.36,18.2,0.13,0.13,0.93,0,0.23,-0.2,5.5,0.56,205,361.13,0.66,0.75,4.93,0.05,95.24,0.07,204.063164038111,-4.8,8,28.4629379455034,6.49135474113044,4.502,0,0,0,1.27536379752324,784090,7.44684921373822,0,2436,7,0.018795617309598,1.28429134410591,0.0765218278513946,289.507582037776,0.0127536379752324,0.104579831396906,0,0.0387710594447066,19.0340968511268,8.11131375224783,0,1046619.78631421,0.110216939381959,0.0708940726192146,17.8193832454895,25.0991595352574,657.701573397486,91.5709779179811,37,0.022526,22.03,45.21,16,6388,2,1.08,22,777123.23,2355.12,779478.35,87,0.04,3.21,8.38,4.48,31.55,0.12,0,63,12.23,0,53,42,5.7,87.52,100,0.57,55.9139784946237,13.6,-0.68,0,6,0.61,1.3942174217271,4.2725,39,59,61,38.92,35.46,55.7,8.1,75,100,92,100,98,100,91,60,89,83
"116","Mauritania",42.63,112.84,69,660000,15.84,158.7,0,17.27,9024.18,642.69,0.82,3,56,42,0.16,0.03,8.25,0.2,0.18,1.02,0,0.74,-2.7,5.9,2.36,183,57.86,0,1.03,7.74,0,642.69,1.16,300.034753714161,-6,3.4,73.7670500676215,29.7341423467844,7.458,0,0,0,0,1025220,5.68463354206902,0,913,4,-0.137245941772557,0.377479955521742,0.0497454204951132,1.95080080372993,0,0.0136556056261095,0,0.00747156707828564,0.0101441641793956,3.9172080138897,0,552436.597380052,0.0224732252589688,8.76943488987729,0.0208345525838357,2.60431907297946,0.0234096096447592,14.0228116710875,52,1.41884610516129,1576.68641891892,66.2676774193548,23,1004,0.7,1.74,35,1036904.89,1106.76,1038011.65,69,36.07,0.73,16.39,0,93.84,0.02,0,152,5.15,0,10,56,0.2,1,100,3.66,25,0,0,25.8252427184466,1.7,407.5,2.97815589204677,18.1814682352941,27.2730263157895,47.7872340425532,78.0392156862745,56.6761038961039,20.5970138888889,15.2,1,45,47,0,13,57,87,95,85,54,100
