"","Country_Standard","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY"
"139","Paraguay",4,3.5,2.96,2.125,1.9,0.87,-1.22,-1.12,-1.29,5.9
"140","Qatar",2,6,2.41176470588235,2.71428571428571,1.875,0.37,0.92,-0.78,0.69,-10
"141","Romania",4,2,3.7,2.75,3,0.65,-0.34,-0.12,-0.33,8.1
"142","Russian Federation",4,5,2.69230769230769,3,2.45454545454545,0.75,-0.9,-0.78,-0.4,5.9
"143","Rwanda",4,6,2.78260869565217,2.5,4.2,0.57,-0.58,-1.01,-0.82,-4.4
"144","Saudi Arabia",3,7,2.96428571428571,2.375,2.27272727272727,0.4,0.57,0.44,-0.05,-10
"145","Serbia and Montenegro",4,2.5,3.59090909090909,2.28571428571429,3.22222222222222,0.35,-0.8,-0.95,-0.73,-1.5
"146","Sudan",4,7,2.48275862068966,2.875,3.18181818181818,0.5,-1.09,-1.36,-1.11,-5.9
"147","Senegal",6,2.5,2.63333333333333,2.125,3.63636363636364,0.75,-0.17,-0.2,-0.18,2.7
"148","Singapore",5,4.5,3.82758620689655,4.5,5.7,0.42,2.3,-0.46,2.26,-2
"149","Solomon Islands",4,3,2.92,4.125,1.45454545454545,0.35,-0.86,0,-1.34,2.77006369426752
"150","Sierra Leone",4,4,2.60714285714286,2.875,3.45454545454545,0.5,-0.82,-1.25,-1.54,0
"151","El Salvador",4,2.5,3.46428571428571,2.75,4.36363636363636,0.74,-0.54,-0.46,-0.53,7
"152","Somalia",2,6.5,2.65217391304348,2.625,2.5,0.21,-1.19,0.4,-1.97,0
"153","Sao Tome and Principe",2,1.5,2,4.14285714285714,3.28571428571429,0.43,-0.25,1.09,-0.64,2.77006369426752
"154","Suriname",2,1.5,2.30769230769231,2.625,1.18181818181818,0.35,0.19,1.92,-0.16,2.77006369426752
"155","Slovakia",4,1.5,3.26086956521739,3,2.625,0.71,0.28,0.4,0.4,9
"156","Slovenia",7,1,3.75,3,3.9,0.69,0.89,1.09,0.82,10
"157","Sweden",4,1,3.37931034482759,2.75,2.54545454545455,1,2.25,1.92,1.84,10
