"","Country_Standard","ENVHEALEPI","BIODIVEPI","ENERGYEPI","WATEREPI","AIREPI","RESMGTEPI","ESI2005","SYSTEM","STRESS","VULNER","CAP","GLOBAL","FUNDING","WI","HWI","EWI","FOODSC","ECONSZSC","DEBTSC","ESC","POSC","GESC","EI","LANDDSC","LANDQSC","FPSC","FSHSC","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY","EVI"
"165","Turkmenistan",57.4,30.3,0,73.3,32.4,100,33.1,50.4,49.4,24.9,14.8,15.2,21.15,31,32,30,90,24,26,70,72,64,55,43,93,31,31,4,7,2.68421052631579,1.875,1.88888888888889,0.39,-1.21,-1.16,-1.47,-9,234.285714285714
"166","Tonga",63.486013986014,49.1798701298701,80.8,83.2824242424242,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,83.33,28,26,30,97,35,42,53.5602409638554,49,0,0,9,58,60,60,2,4,3.27272727272727,5,5.125,0.3,-0.44,0,-0.64,2.77006369426752,400
"167","Trinidad and Tobago",94.1,32,3.4,99.9,74.4,88.9,36.3,35.6,41.5,71.3,26.1,13.4,39.1,42.5,53,32,78,50,41,58,70,43,43,37,15,60,60,3,3,2.96,3.75,4.18181818181818,0.69,-0.04,0.34,0.47,10.6,298.798280954703
"168","Tunisia",77.2,5.1,75.3,35.1,49.1,49.9,51.8,41.4,52,60.9,50.4,60.9,92.31,38,44,32,57,42,31,67,80,45,45,27,37,46,46,4,5.5,3.48275862068966,2.125,2.90909090909091,0.79,0.35,0.27,0.65,-4.1,310.63829787234
"169","Turkey",84.6,31.8,69.7,86,49,68.6,46.6,36.6,50.7,70.4,52.5,25.2,78.85,36.5,45,28,59,46,25,71,53,38,41,22,34,49,49,6,3.5,3.58620689655172,3.25,3.54545454545455,0.76,-0.38,0,-0.2,6.4,351.063829787234
"170","Taiwan",93.5,67.3,70.7,99.8,47.4,38,32.7,17.5,24.8,24.4,70.9,41.5,50.7821428571429,42.2527777777778,40.6666666666667,43.8388888888889,60.7371428571429,38.2222222222222,34.8901734104046,53.5602409638554,53.0514285714286,44.6404494382022,44.3483146067416,43.9222222222222,58,50.6496815286624,39.9661016949153,4,2,3.64705882352941,3,3.42857142857143,0,0.81,0.95,1,9.3,334.48275862069
"171","United Republic of Tanzania",37.3,74.1,82.9,88.6,86.2,72.2,50.3,38.9,60.7,32.8,51.6,63.5,85.9,36,18,54,31,5,0,8,63,46,48,63,60,74,74,6,3.5,2.25,2.875,3,0.75,-1,-0.49,-0.51,-0.1,252.173913043478
"172","Uganda",31.7,73.6,92.4,92.7,98,93,51.3,49.3,47.1,31.5,47.1,81.9,82.69,27,10,44,36,11,12,10,14,44,47,52,41,73,73,4,5,2.75,2.25,4,0.73,-0.92,-0.84,-0.41,-4,287.5
"173","Ukraine",93.8,40.1,3.7,65.2,56.6,77.8,44.7,47.7,53.6,74.7,29.2,17.5,4.49,36.5,47,26,88,28,60,80,69,47,54,14,37,25,25,5,4,3.5,2.5,2.90909090909091,0.63,-0.96,-0.79,-0.74,7.7,317.391304347826
"174","Uruguay",84.1,49.1798701298701,84.5,99.7,38.3,76.7407407407407,71.8,70.5,67.3,78,73.6,73.6,57.69,56.5,61,52,84,54,33,73,66,53,53,44,86,56,56,4,1,3,1.75,2.27272727272727,0.65,0.79,0.56,0.51,10,263.04347826087
"175","United States of America",98.3,66.9,69.7,73.9,44.7,38.9,53,60.3,27.3,73.5,78.1,38.3,40,52,73,31,96,90,70,97,58,58,49,51,70,60,60,6,1,3.3448275862069,2.625,2,0.71,1.77,1.7,1.7,10,295.744680851064
"176","Uzbekistan",57.7,38.3,0.4,59.6,36.4,100,34.4,45.8,37.1,45.3,17.7,25.8,33.97,33,36,30,45,20,55,80,40,47,52,33,70,79,79,4,6.5,3,2.375,2.8,0.58,-1.03,-1.16,-1.1,-9,277.777777777778
"177","Saint Vincent and the Grenadines",63.486013986014,49.1798701298701,79.9,83.2824242424242,66.7,83.3,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,25,47.5,41,54,84,38,0,53.5602409638554,37,10,10,42,58,7,7,4,1.5,2.71428571428571,4.42857142857143,4.5,0.48,0.4,-0.32,-0.06,2.77006369426752,350
"178","Venezuela",81.8,88,32.1,91,76.9,44.4,48.1,67.9,55.5,40.9,33.5,26.9,25.64,44.5,43,46,70,43,36,59,44,43,34,71,72,62,62,5,3.5,3.13793103448276,2.625,2.36363636363636,0.82,-0.94,-1.04,-1.14,6.4,289.36170212766
"179","Viet Nam",44.4,42.8,64.1,97,45.3,71.8,42.3,36.2,45,33.9,43.9,54.8,84.62,38.5,28,49,28,17,20,53,66,77,67,28,51,63,63,5,6.5,3.59259259259259,3,4.3,0.58,-0.68,-0.39,-0.27,-7,356.818181818182
"180","Vanuatu",63.486013986014,49.1798701298701,85.1,83.2824242424242,75.3,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,47.44,42.5,35,50,61,27,73,29,68,29,29,34,100,80,41,3,1.5,2.73913043478261,4.125,1.7,0.32,-0.44,-0.95,-0.64,2.77006369426752,280
"181","Samoa",63.486013986014,49.1798701298701,83.8,83.2824242424242,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,73.72,46.5,43,50,88,32,30,58,76,40,40,30,58,47,6,4,2,3.08695652173913,4.375,3.44444444444444,0.55,-0.06,-0.27,-0.26,2.77006369426752,341.025641025641
"182","Yemen",40.7,13.7,59.2,50,39.5,85.6,37.3,49.6,41.8,23.7,23.5,42.4,57.05,33,15,51,19,7,25,24,40,12,29,41,55,80,80,3,5.5,2.48275862068966,2.5,3.72727272727273,0.42,-0.69,-1.23,-0.87,-2,276.595744680851
"183","South Africa",71.8,47.2,53.3,33.3,78.6,48.4,46.2,44.9,43.5,54.4,53.7,38.2,44.23,35,43,27,56,54,37,80,33,65,39,52,33,74,14,5,1.5,3.5,2.25,3.45454545454545,0.76,0.36,0.19,0.52,9.9,328.260869565217
"184","Zambia",24,81.6,74.2,99.6,69.1,100,51.1,60.1,54.4,23.2,54.1,55.3,50.7821428571429,29.5,16,43,27,7,0,22,47,40,35,71,52,7,7,4,4,2.20833333333333,2.375,1.6,0.62,-0.97,-0.52,-0.93,1.5,212.19512195122
"185","Zimbabwe",49.9,67.6,63,79.5,70,100,41.2,50.4,59.3,30.7,38.1,12.9,63.46,39,23,55,35,24,29,46,46,46,34,56,73,74,74,4,6,2.375,2,1.44444444444444,0.46,-1.17,-1.33,-0.8,-7,210
