"","Country_Standard","ENVHEALEPI","BIODIVEPI","ENERGYEPI","WATEREPI","AIREPI","RESMGTEPI","ESI2005","SYSTEM","STRESS","VULNER","CAP","GLOBAL","FUNDING","WI","HWI","EWI","FOODSC","ECONSZSC","DEBTSC","ESC","POSC","GESC","EI","LANDDSC","LANDQSC","FPSC","FSHSC","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY","EVI"
"45","Djibouti",63.486013986014,19.5,51.2,78.5,55.3058479532164,100,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,16.67,39,18,60,52,13,42,5,54,16,16,43,70,50.6496815286624,8,1,4.5,1.88235294117647,2.85714285714286,1.85714285714286,0.63,-0.73,0.67,-0.88,-2.1,209.677419354839
"46","Dominica",63.486013986014,49.1798701298701,81,83.2824242424242,66.7,100,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,26.28,60.5,56,65,80,40,42,53.5602409638554,53.0514285714286,19,19,71,58,50,14,4,1,2.96,2.75,3.18181818181818,0.39,0.52,1.97,0.32,2.77006369426752,298.798280954703
"47","Denmark",98.5,40.9,81.5,97.1,61.9,67.9,58.2,40.5,30.6,78,87.5,73.7,72,56,81,31,88,84,77,89,74,79,76,29,93,61,61,6,1,3.74193548387097,2.875,3.18181818181818,0.95,2.26,1.97,1.99,10,344.897959183673
"48","Dominican Republic",69.2,70.9,69.3,80.8,45.2,83.3,43.7,30.9,58.9,44.5,42.9,36.5,29.49,47.5,49,46,52,37,51,66,80,39,35,65,57,67,6,4,2,2.96296296296296,4,3.63636363636364,0.51,-0.39,-0.43,-0.41,8.2,324.444444444444
"49","Algeria",85.1,37.8,60.1,27.7,39.3,71.9,46,43.1,66.3,57.5,31.8,21.1,14.74,36.5,29,44,63,39,23,60,0,29,41,62,31,67,67,5,5.5,2.73333333333333,2.375,2.90909090909091,0.6,-0.7,-0.54,-0.59,-2.8,275
"50","Ecuador",78.2,64.5,66.4,82.3,78.3,72.2,52.4,63.6,55.9,43,47.4,41.5,80.13,49.5,43,56,41,27,19,68,46,48,43,64,65,75,75,6,3,3.26666666666667,2.875,2.54545454545455,0.89,-1.02,-0.6,-0.96,7,304.166666666667
"51","Egypt",74.6,23.9,57.2,71.5,14.8,38.9,44,43.7,41,40.3,44.2,54.5,93.59,41,39,43,53,27,41,67,78,30,50,54,63,48,43,6,6,3.06666666666667,2.5,3.18181818181818,0.76,-0.29,0.09,-0.32,-5.2,297.916666666667
"52","Eritrea",26.9,41.9,77.8,57.6,49.3,93.6,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,44.87,35,10,60,13,8,80,10,0,39,39,44,42,50.6496815286624,80,4,6.5,2.40909090909091,2.625,2.8,0.29,0.04,1.15,-0.44,-7.2,253.846153846154
"53","Spain",97,62.1,78,62.4,49.2,55.3,48.8,30.8,36,76.2,79.5,32,24,46.5,73,20,92,72,63,91,60,61,59,31,66,26,26,6,1,3.76666666666667,3,3.27272727272727,0.85,1.46,1.15,1.53,10,352.083333333333
"54","Estonia",63.486013986014,36.6,35.3,97.3,67.1,83.1,58.2,64.4,56.5,75.5,67.6,22.5,16.03,48,62,34,60.7371428571429,51,49,83,62,69,60,40,86,29,29,4,1.5,2.89285714285714,2.625,2.72727272727273,0.64,0.66,0.8,0.78,6,280.434782608696
"55","Ethiopia",10.4,43.5,84.1,80.2,57,50,37.8,36.4,56.2,4.6,36,57.1,58.33,38.5,13,64,14,6,0,8,43,26,38,52,46,60,60,4,5,2.39130434782609,2.5,3.3,0.52,-0.35,-0.44,-0.89,1,260
"56","Finland",98.8,54.3,75.7,99.5,65.3,81.5,75.1,73.7,60.5,81.5,91.7,68.1,92,62.5,81,44,92,81,78,93,70,81,77,52,84,78,24,4,1,3.25806451612903,1.75,1.45454545454545,0.92,2.39,1.99,2.01,10,265.30612244898
"57","Fiji",63.486013986014,49.1798701298701,81,100,71.8,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,21.79,48,50,46,84,35,48,67,80,47,47,36,100,32,32,3,3.5,3.35714285714286,4.375,2.54545454545455,0.48,0.12,1.33,0.06,6.1,334.782608695652
"58","France",99.2,50.9,78.9,91.7,61.5,46.3,55.2,45.1,35.9,77.5,77.5,55.2,32,52,75,29,90,81,64,91,69,59,58,35,83,50,16,5,1,3.80645161290323,3.125,3.54545454545455,1,1.45,1.33,1.67,9,361.224489795918
"59","Gabon",61,62.5,79.8,99.9,96.1,88.9,61.7,85.9,61.4,58.3,40.1,41.1,18.59,45,28,62,84,45,0,26,78,44,44,50,76,54,47,3,4.5,2.37037037037037,2.25,1.27272727272727,0.46,-0.55,-0.27,-0.45,-4,211.111111111111
"60","United Kingdom of Great Britain and Northern Ireland",98.9,58.8,77.8,91.9,61.6,71.6,50.2,38.9,28.9,70.8,84.8,41.6,52,51.5,73,30,86,80,76,87,52,67,59,38,78,60,17,4,1,3.83333333333333,3,4.18181818181818,1,1.97,1.81,2.03,10,372.916666666667
"61","Georgia",61.8,31.8,58.2,93,33.2,88.9,51.5,39.5,67.2,55.7,40.3,49,92.95,44.5,48,41,60.7371428571429,29,31,69,45,61,61,36,93,2,2,3,4,2.39130434782609,3.125,2.81818181818182,0.56,-1.03,-1.17,-0.77,5.8,260.975609756098
"62","Ghana",48.8,50.1,83.3,99.4,87.3,67.5,52.8,40.6,52.9,55.2,53.3,69.8,73.08,30,22,38,50,17,31,7,80,36,48,40,71,39,39,6,2.5,2.8,2.625,3,0.73,-0.4,-0.15,0.01,2.9,279.166666666667
"63","Guinea",17.2,64.3,88.6,99.5,69.6,83.3,48.1,48.2,52.8,30.3,31.8,77.2,41.03,40.5,15,66,45,18,12,8,80,35,41,39,89,78,78,4,5.5,2.71428571428571,2.375,2.18181818181818,0.61,-0.58,-0.75,-0.78,-0.8,254.347826086957
"64","Gambia",39.3,21.2,83.5,99.6,54.9,66.9,50,45,54.9,36.3,37.5,77.3,36.54,39,16,62,47,14,26,16,64,34,33,34,75,63,63,5,4,2.51724137931034,3.25,3.27272727272727,0.73,-0.83,-0.5,-0.81,-5.2,276.595744680851
"65","Guinea-Bissau",17.1,47.3,72.1,99.9,61.6,94.4,48.6,62.9,56.9,28.6,31,53.8,56.41,39.5,13,66,60,6,0,16,20,30,18,31,71,58,58,2,4.5,2.83333333333333,3,2.27272727272727,0.5,-0.61,-1,-1.35,4.2,271.428571428571
"66","Equatorial Guinea",63.486013986014,74.7,86.5,99.9,55.3058479532164,100,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,23.08,38.5,15,62,76,18,10,26,80,29,29,43,97,68,68,4,6.5,2.72727272727273,2.75,1.45454545454545,0.51,-1.89,0.79,-1.37,-5,242.5
"67","Greece",96.3,27.4,74.7,94.9,50.9,72.9,50.1,36.9,44.4,77.7,61.8,38.4,20,51.5,70,33,88,68,43,88,63,51,54,23,57,34,19,5,1.5,3.7741935483871,3.25,3.09090909090909,0.85,0.58,0.79,0.79,10,353.061224489796
"68","Grenada",63.486013986014,49.1798701298701,78.8,83.2824242424242,71.7,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,46.15,52,55,49,82,43,34,53.5602409638554,53.0514285714286,53,53,40,58,73,17,2,1.5,2.29411764705882,4.42857142857143,4.375,0.32,0.71,-0.84,0.38,2.77006369426752,316.129032258065
"69","Guatemala",64.4,69.1,82.1,99.9,32.6,83.3,44,40.5,49.8,29.4,42.1,53.6,83.97,33.5,23,44,20,30,44,35,11,35,35,57,26,45,19,4,4,3.44827586206897,2.5,4,0.71,-0.71,-0.84,-0.61,7.5,338.297872340425
"70","Guyana",63.486013986014,38.3,54.5,99.9,77.4,83.3,62.9,90.4,65.4,37.2,40.9,46.9,38.46,57,51,63,68,29,0,57,80,59,53,61,30,79,79,4,2,2.14814814814815,2.625,1.36363636363636,0.49,-0.5,-0.43,-0.32,6,206.666666666667
"71","Hong Kong Special Administrative Region of China",63.486013986014,49.1798701298701,82.2,83.2824242424242,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,42.2527777777778,40.6666666666667,43.8388888888889,60.7371428571429,38.2222222222222,34.8901734104046,53.5602409638554,53.0514285714286,44.6404494382022,44.3483146067416,43.9222222222222,58,50.6496815286624,39.9661016949153,4,3.5,2.77777777777778,3.5,3.14285714285714,0,1.52,-0.79,1.44,2.77006369426752,309.090909090909
"72","Honduras",66.1,78.1,73.2,97.8,39.5,88.8,47.4,44.4,58.2,26.7,41.9,59.3,77.56,39,33,45,34,23,24,43,80,39,29,46,27,58,58,3,3,2.7037037037037,2.875,2.81818181818182,0.43,-0.78,-0.79,-0.73,7.4,273.333333333333
"73","Croatia",63.486013986014,25.4,70.3,99.6,55.1,83.3,59.5,54.7,64.5,76.9,59.3,40,64.74,45,57,33,98,47,49,71,48,67,69,39,24,38,38,4,2,3.73333333333333,2.125,3.66666666666667,0.69,0.23,0.11,0.19,0.6,343.478260869565
"74","Haiti",38.4,17.4,84.8,98,40.7,55.6,34.8,21.5,54.6,17.4,24.6,54.2,27.56,31,19,43,16,14,31,11,28,51,51,14,2,65,8,3,6,3.03571428571429,3.75,4.54545454545455,0.45,-1.7,-1.76,-1.56,1.4,343.478260869565
"75","Hungary",94.2,47.7,69.2,76.9,55.6,50,52,38.4,49.5,79.8,67,30.6,22.44,49,65,33,94,60,28,79,81,58,61,31,51,50.6496815286624,3,4,1.5,3.84615384615385,3.125,3.6,0.75,0.6,0.9,0.78,10,362.790697674419
"76","Indonesia",53.9,66,67.1,99.8,25.1,79.9,48.8,32.6,59.3,55.8,40.7,58.7,49.36,42,36,48,30,24,18,60,48,39,48,61,86,34,34,4,3.5,3.06451612903226,3.25,3.54545454545455,0.7,-1.16,-0.8,-0.56,-0.2,316.326530612245
"77","India",43.8,39.8,59.7,67.6,28.4,62.1,45.2,23.1,49.9,45.7,51.2,65.6,42.95,29,31,27,19,20,37,37,45,32,44,24,40,41,41,6,2.5,3.78571428571429,2.875,5,0.82,-0.25,0.07,-0.13,9.8,384.782608695652
"78","Ireland",98.6,26.2,81.2,99.6,60.3,72.5,59.2,54.2,43.8,76.6,71.9,63.1,48,54,76,32,92,81,76,93,80,55,55,30,98,79,79,5,1,3.2258064516129,2.75,3.45454545454545,0.94,1.67,1.72,1.62,10,318.367346938775
"79","Iran (Islamic Republic of)",85.7,48,36.6,72.3,31.1,83.3,39.8,32.7,58.7,56,29.1,19,7.69,35,38,32,62,40,58,63,19,29,29,38,33,76,17,4,6,3.23333333333333,2.625,3.18181818181818,0.81,-0.38,-0.58,-0.46,0.4,312.5
"80","Iraq",66.8,27.8,66.7471264367816,75.7,14.1,66.7,33.6,34.8,47.2,36.8,21.8,17.9,50.7821428571429,25,19,31,45,28,34.8901734104046,32,3,22,22,42,18,28,28,7,7,3.53846153846154,2.625,3.8,0,-1.43,-1.7,-1.64,-9,344.186046511628
"81","Iceland",98.8,63.7,68.9,99.1,61.5,33.3,70.8,88.4,35,80.7,86.7,60.9,50.7821428571429,61.5,80,43,94,85,73,84,53.0514285714286,70,70,63,31,52,52,7,1,2.93333333333333,3.125,2.81818181818182,0.64,2.19,2,1.98,2.77006369426752,297.916666666667
"82","Israel",95.9,47.3,76,46.1,49.5,38.9,50.9,32,34.3,77.1,66.4,66.8,50.7821428571429,42,59,25,86,75,38,80,43,48,51,37,95,24,2,6,2,3.55555555555556,3.375,5,0.92,1.08,0.97,1.02,10.4,380
"83","Italy",95.3,48.7,80.3,80.3,55.2,56.3,50.1,35.9,36.5,74.9,70.9,47.1,8,52,74,30,90,81,39,89,79,53,60,27,59,34,14,5,1,4.06451612903226,3.5,3.72727272727273,0.94,0.8,0.82,0.91,10,385.714285714286
"84","Jamaica",76.4,86.1,42.7,99.9,47.7,88.7,44.7,32,47.6,57.6,43.9,48.1,45.51,44.5,54,35,78,29,20,54,57,53,53,28,53,44,8,3,2.5,3.24137931034483,4.5,5,0.58,-0.46,-0.38,-0.07,9,380.851063829787
"85","Jordan",85.5,56,51.7,45.8,40.6,38,47.8,46.6,37.9,55.5,52.4,54.9,95.51,33,38,28,68,29,2,64,57,31,43,40,29,62,0,5,5.5,3.33333333333333,2.125,3.27272727272727,0.83,0,0.33,0.36,-2,310.416666666667
"86","Japan",97.6,70.4,79.7,94.8,52.6,33.3,57.3,32.4,37.2,64.4,88.7,78.2,100,52.5,80,25,86,83,46,91,92,44,60,34,98,50,27,7,1.5,4.37931034482759,2.875,3.63636363636364,0.85,1.2,1.41,1.07,10,389.36170212766
"87","Kazakhstan",70.8,38.4,8.5,74.7,60.1,100,48.6,61.3,62,55.8,27.6,24.5,51.28,37.5,43,32,68,36,58,80,68,47,50,38,41,57,57,4,5.5,2.1304347826087,2.5,1.8,0.5,-1.05,-0.9,-0.8,-5,215
"88","Kenya",38,54.1,76.5,84.8,87,71.4,45.3,46.1,52.9,25.9,41.4,54.8,61.54,34.5,18,51,32,10,30,20,35,39,38,63,54,65,65,6,4,2.44827586206897,2.75,3,0.75,-1.05,-1.04,-0.85,-1.2,261.702127659575
"89","Kyrgyzstan",53.7,68.1,38.3,79.7,50.6,100,48.4,54.5,57.4,54.7,32.1,36.4,11.54,40,38,42,53,22,36,64,64,57,52,36,94,50.6496815286624,80,4,5.5,2.33333333333333,3,1.8,0.42,-0.84,-0.83,-0.81,-3,234.210526315789
"90","Cambodia",18.3,82.7,89.1,99.9,56.6,77.8,50.1,52.6,57.9,17.7,38.3,79.1,46.79,38.5,20,57,18,13,24,34,30,44,47,52,36,34,34,5,5.5,2.92307692307692,1.875,2.90909090909091,0.63,-0.9,-0.86,-0.56,1.7,270.454545454545
"91","Kiribati",63.486013986014,49.1798701298701,66.7471264367816,83.2824242424242,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,66.03,42.2527777777778,40.6666666666667,43.8388888888889,60.7371428571429,38.2222222222222,34.8901734104046,53.5602409638554,53.0514285714286,44.6404494382022,44.3483146067416,43.9222222222222,58,50.6496815286624,39.9661016949153,3,1,3.32,5.25,4.22222222222222,0.43,-0.44,0.33,0.06,2.77006369426752,385.365853658537
"92","Saint Kitts and Nevis",63.486013986014,49.1798701298701,66.7471264367816,83.2824242424242,59.4,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,24.36,52.5,52,53,82,61,45,49,61,27,27,60,58,51,51,2,1.5,3.07142857142857,5.28571428571429,3.28571428571429,0.48,0.4,0.88,-0.06,2.77006369426752,359.259259259259
"93","Republic of Korea",93.5,39.4,68.1,90.7,47.1,39,43,30.6,22.2,56.4,74.8,53.7,4,47,67,27,98,67,51,100,70,39,49,33,98,41,41,6,2,4.03225806451613,2.57142857142857,3.90909090909091,0.75,0.33,0.88,0.84,8,372.916666666667
"94","Kuwait",63.486013986014,49.1798701298701,34.2,50,20,76.7407407407407,36.6,36.7,31.2,68.6,33.7,23.6,50.7821428571429,37.5,50,25,76,85,58,49,37,27,27,44,66,36,16,3,4.5,3.44827586206897,2.625,3.27272727272727,0.6,1.06,0.81,0.16,-7,323.404255319149
"95","Lao People's Democratic Republic",21.3,76.1,89.8,99.9,56,100,52.4,56.4,58.3,26.2,47,66.9,76.92,39,15,63,24,17,18,26,63,50,59,46,79,50.6496815286624,80,4,6.5,2.625,2.5,1.77777777777778,0.38,-1.25,-1.05,-0.8,-7,242.5
"96","Lebanon",93.4,20.2,61.2,89.3,52.1,76.6,40.5,32.3,33.8,58.7,44.3,46.9,64.1,38.5,40,37,76,35,0,57,19,40,40,17,86,37,37,4,5.5,3.96551724137931,3.25,4.36363636363636,0.56,-0.34,-0.27,-0.41,2.77006369426752,387.234042553192
"97","Liberia",23.3,36.7,81.3,100,86.5,88.9,43.4,61.6,51.1,19.9,19.8,59.6,9.62,37,9,65,31,8,0,53.5602409638554,18,44.6404494382022,44.3483146067416,39,93,59,59,3,6,2.78260869565217,2.75,2.54545454545455,0.48,-0.98,-1.42,-1.51,0,270.731707317073
"98","Libyan Arab Jamahiriya",63.486013986014,13.7,40,27.4,55.3058479532164,77.4,42.3,56,45.2,58.4,28.5,19.5,1.92,31,38,24,70,47,80,81,40,58,58,58,22,63,63,3,7,2.59259259259259,2.125,2.63636363636364,0.54,-0.82,-0.91,-0.87,-7,255.555555555556
"99","Saint Lucia",63.486013986014,49.1798701298701,76.6,83.2824242424242,63.4,83.3,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,30.13,52,53,51,84,41,54,41,53.0514285714286,22,30,46,58,33,12,4,1.5,3.2,4.57142857142857,5.125,0.58,0.4,1.55,-0.06,2.77006369426752,393.103448275862
"100","Sri Lanka",61.3,56.6,82.5,83.2,52.7,64.6,48.5,30.2,51.4,51.4,51.2,68.1,62.82,48.5,40,57,41,26,27,52,39,41,49,43,74,50,50,6,3.5,3.06451612903226,2.625,4.81818181818182,0.61,-0.14,0.23,0.03,6.2,330.612244897959
"101","Lesotho",38.1,49.1798701298701,66.7471264367816,92.5,68.1,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,52.56,40.5,24,57,28,16,39,27,40,35,35,32,32,50.6496815286624,0,4,2.5,2.82608695652174,2.125,3.4,0.6,-0.28,0.48,-0.26,5,280
"102","Lithuania",63.486013986014,29.8,58.7,94.7,60.6,77.8,58.9,43.7,65,78,61.2,45.1,51.92,52.5,61,44,92,46,67,72,77,47,53,32,77,29,29,5,1.5,3.23076923076923,2.625,3.36363636363636,0.73,0.25,0.48,0.61,10,313.636363636364
"103","Luxembourg",63.486013986014,49.1798701298701,77.9,99.4,63,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,12,50.5,77,24,92,93,98,53.5602409638554,78,40,55,31,66,50.6496815286624,2,4,1,3.33333333333333,2.71428571428571,3.88888888888889,1,2,0.46,2.13,2.77006369426752,327.272727272727
"104","Latvia",63.486013986014,32.9,71.9,99.7,64.6,61.2,60.4,56.3,64.8,74.5,63,38.6,26.92,54,62,46,90,43,80,76,68,63,60,38,61,34,34,5,1.5,2.46428571428571,2.625,3.36363636363636,0.65,0.09,0.46,0.67,2.77006369426752,269.565217391304
"105","Morocco",75.7,54.7,75.1,6.5,54.4,71.2,44.8,25.3,48.1,55.3,45.5,62.5,69.23,34,36,32,56,29,32,42,71,28,38,28,76,35,35,6,5,3.13333333333333,2.625,3.63636363636364,0.75,-0.04,0.11,0.07,-5.5,314.583333333333
"106","Republic of Moldova",81.7,16.9,0.2,46.3,56.9,100,51.2,50.2,67.7,63.5,25,43.1,41.67,38,41,35,92,19,33,71,53,52,53,14,49,50.6496815286624,80,4,3.5,3.36363636363636,2.125,4.125,0.58,-0.89,-0.49,-0.63,8.2,321.621621621622
"107","Madagascar",23.3,39.5,82.7,88.8,74.7,83.3,50.2,44.6,57,17.8,40.4,87.3,75.64,37,24,50,20,8,4,15,94,49,43,38,37,62,62,4,3.5,2.55172413793103,2.875,3.27272727272727,0.79,0.14,-0.19,-0.38,6.9,278.723404255319
"108","Maldives",63.486013986014,49.1798701298701,66.7471264367816,83.2824242424242,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,96.79,34.5,22,47,29,34,39,53.5602409638554,73,42,42,27,58,84,84,5,5.5,3.1875,5.14285714285714,4.42857142857143,0.51,0.04,-0.22,0.78,2.77006369426752,382.758620689655
"109","Mexico",80.6,48.5,67.6,21.2,34.6,72.4,46.2,40.5,46.7,61.8,47.5,37.4,68.59,33,45,21,56,51,38,69,23,53,37,46,43,49,49,5,2,3.44827586206897,2.875,2.18181818181818,0.85,-0.19,-0.22,0.15,6.4,306.382978723404
"110","Macedonia",63.486013986014,40.4,53.8,97.2,56.3,100,47.2,47,49.3,65.9,39.9,34.4,50.7821428571429,44,46,42,60.7371428571429,35,19,52,62,50,50,43,34,50.6496815286624,2,4,3,3.58823529411765,2,3.5,0.49,-0.73,-0.41,-0.39,7.3,315.625
"111","Mali",8.6,45,92.1,37.7,21.2,100,53.7,59.3,49.6,28.7,39.6,87.1,85.26,32.5,21,44,33,7,11,9,80,38,35,52,32,63,63,4,2.5,2,1.875,2.6,0.75,-0.32,-0.54,-0.84,5.4,214.634146341463
"112","Malta",63.486013986014,21.8,75.1,100,55.3058479532164,88.9,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,10.9,42,70,14,88,73,15,78,90,45,45,15,58,17,3,3,1,3.15789473684211,4,4.88888888888889,0.7,0.8,-1.62,1.16,2.77006369426752,367.647058823529
"113","Myanmar",47.3,42.7,88.3,98.2,27.4,77.2,52.8,51.1,62.8,48.5,35.8,60.1,10.26,35,21,49,27,12,12,50,57,62,62,28,80,48,48,5,7,2.60714285714286,2.625,3.09090909090909,0.39,-1.37,-1.62,-1.29,-7,269.565217391304
"114","Mongolia",47.8,71.7,8.7,39.7,28.5,100,50,72.9,50.7,38.2,35.9,40.4,94.23,49.5,39,60,23,15,9,56,79,37,47,79,58,50.6496815286624,43,4,2,2.30434782608696,1.625,1.8,0.64,-0.14,0.36,-0.18,10.7,207.5
"115","Mozambique",16.7,39.7,84,86.7,74.6,88.9,44.8,55.6,60.6,1.9,48.9,65.7,67.31,33,11,55,15,8,0,7,17,51,50,50,82,66,66,3,3.5,2,2.75,2.54545454545455,0.55,-1.01,-0.65,-0.41,5.8,227.272727272727
"116","Mauritania",28.4,5.9,50.3,35.5,30.9,55.6,42.6,57.7,47.7,22.6,31.8,42.6,66.67,28.5,17,40,28,16,5,22,78,31,39,65,22,25,25,3,5,2.17857142857143,1.75,3,0.52,0.23,-0.33,-0.16,-6,232.608695652174
"117","Mauritius",63.486013986014,49.1798701298701,79.6,100,55.3058479532164,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,94.87,49,54,44,68,53,30,49,72,50,46,41,90,67,28,3,1.5,2.77777777777778,4,5.22222222222222,0.75,0.53,-0.34,0.53,10,357.575757575758
"118","Malawi",29.6,64.6,86.5,86.9,79.2,100,49.3,50.2,44.6,26.9,54.4,72.1,74.36,42,22,62,22,5,19,38,80,42,42,47,84,78,78,4,4,2.54166666666667,2.5,2.6,0.63,-0.91,-0.34,-0.68,6.1,248.780487804878
"119","Malaysia",88.7,71.5,60.8,99.3,79.8,77.8,54,54.7,42.9,67.7,55.2,59.1,100,39.5,46,33,62,52,32,61,75,44,38,49,47,59,59,5,5,3.35483870967742,2.5,3,0.77,0.38,0.58,0.92,2.2,312.244897959184
"120","Namibia",43.9,68,83.4,41.7,69.2,83.3,56.8,70.8,52,61.6,54.6,40.9,97.44,44,34,54,47,41,51,52,40,49,49,73,68,66,66,4,2.5,2.03703703703704,2.25,1.63636363636364,0.68,0.21,0.45,0.18,6,200
"121","New Caledonia",63.486013986014,49.1798701298701,79.8,100,60.8,76.7407407407407,49.8794520547945,49.8650684931507,50.4376712328767,50.7808219178082,48.0794520547945,50.2705479452055,50.7821428571429,42.2527777777778,40.6666666666667,43.8388888888889,60.7371428571429,38.2222222222222,34.8901734104046,53.5602409638554,53.0514285714286,44.6404494382022,44.3483146067416,43.9222222222222,58,50.6496815286624,39.9661016949153,1,3.5,2.75,3.42857142857143,2.5,0,-0.27,-0.27,-0.26,2.77006369426752,290
"122","Niger",1,39,83.6,56.6,22.9,50,45,53.6,48.9,17.6,26.5,79.2,71.79,33.5,11,56,20,7,9,3,40,35,25,69,21,8,8,4,4,1.8695652173913,1.75,2.7,0.76,-1.1,-0.78,-0.79,1.2,207.5
"123","Nigeria",23,42,68.6,94.8,55.9,68.4,45.4,34.8,57.3,38,30.9,66.4,34.62,36,16,56,30,8,20,23,17,29,30,36,40,17,17,6,4.5,3.41379310344828,2.375,4.09090909090909,0.48,-1.35,-1.35,-1.12,-0.7,336.170212765957
"124","Nicaragua",62.5,69.4,71.3,99.9,50.5,88.9,50.2,70.2,58.7,13.5,37.7,56.6,90.38,38.5,28,49,45,21,0,45,24,47,38,48,41,52,52,3,3,2.85714285714286,2.25,2.72727272727273,0.71,-0.44,-0.63,-0.87,8.6,271.739130434783
"125","Netherlands",97.1,26.1,75.3,76.5,55.9,67.2,53.7,27.7,27.6,78.3,85.7,72.9,84,50,78,22,92,82,68,91,67,73,65,34,80,32,18,5,1,4.45161290322581,2.125,3.81818181818182,0.95,2.15,1.83,2.14,10,387.755102040816
"126","Norway",98.8,35.8,76.5,100,62.8,33.3,73.4,82.1,48,78.2,91.3,66,76,62.5,82,43,92,86,80,93,77,74,73,55,93,56,56,7,1,3.2258064516129,2.625,1.27272727272727,1,2,1.96,1.84,10,273.469387755102
"127","Nepal",44.1,60.5,86.4,99,35.9,99,47.7,39.2,53.1,39.6,38.9,69.7,91.67,46,28,64,22,12,44,32,63,31,43,50,76,50.6496815286624,80,4,4,2.92,3.25,3.5,0.57,-0.3,-0.5,-0.51,3.4,304.761904761905
"128","New Zealand",97.9,73.5,73.4,98.8,83.7,61.4,61,67.7,46.4,75.7,79.5,34.5,68,55.5,73,38,88,75,78,92,80,65,42,59,79,81,81,5,1,3.09677419354839,3.625,1.72727272727273,0.82,2.28,1.91,1.97,10,291.836734693878
"129","Oman",79.5,41,57.6,65.7,28.1,88.9,47.9,60.5,58.7,61.4,37.4,14.5,14.1,29.5,31,28,56,60,37,38,26,46,46,80,25,64,64,3,5.5,2.6,2.375,2.18181818181818,0.37,1.03,0.83,0.69,-7.9,250
"130","Pakistan",46.1,23,66.6,37.9,8.2,44.4,39.9,27.7,45.2,38.6,31.5,63.4,33.33,31,18,44,20,17,20,17,17,28,47,26,28,35,35,5,5.5,3.77777777777778,3.25,4.18181818181818,0.67,-0.73,-0.7,-0.5,1.3,373.333333333333
"131","Panama",75.6,83.2,69.5,97.6,58.6,77.8,57.7,65.2,56.3,62.9,46.8,57,55.13,44.5,52,37,66,41,0,68,70,39,32,63,20,48,48,5,1.5,2.37931034482759,2.625,2.63636363636364,0.9,-0.24,0,-0.14,9.9,246.808510638298
"132","Peru",64.8,57.4,83.5,83.8,57.8,47.3,60.4,64.9,53.7,57,57.4,72.4,87.18,53,44,62,52,35,5,75,40,47,40,64,38,56,56,7,2.5,2.72413793103448,2.5,2.63636363636364,0.81,-0.2,-0.44,-0.47,3.78,268.085106382979
"133","Philippines",63.5,69,78.9,97.2,61.4,69.5,42.3,29.3,45.5,20.1,55.5,67.1,96.15,38,44,32,47,30,31,80,46,50,48,32,29,42,42,6,2.5,4.17241379310345,2.875,4.72727272727273,0.83,-0.52,-0.5,-0.06,8,402.127659574468
"134","Papua New Guinea",34.1,34.3,83.3,98.4,73.7,94.4,55.2,71.5,70.4,30.8,34.3,45.1,54.49,37.5,22,53,29,22,32,28,22,34,32,53,98,80,8,2,2.5,2.75,3.375,1.27272727272727,0.55,-0.9,-0.82,-0.78,10,254.347826086957
"135","Poland",95,29.2,54.7,93.7,53.9,54.9,45,37.4,39.2,79.3,64.6,14.3,23.72,47.5,65,30,84,50,49,76,77,55,56,30,42,40,40,6,1.5,3.7,2.75,3.81818181818182,0.82,0.39,0.65,0.61,9.8,354.166666666667
